,Strain,Type,Effects,Flavor,Description,name,ailment,all_text,lemmas
10,3Rd-Coast-Panama-Chunk,hybrid,"Energetic,Happy,Talkative,Uplifted","Pine,Diesel","3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain. ",,,"3Rd-Coast-Panama-Chunk hybrid Energetic,Happy,Talkative,Uplifted Pine,Diesel 3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain.   ",3Rd Coast Panama Chunk hybrid energetic happy talkative Uplifted Pine Diesel 3rd Coast Panama Chunk Bedford Grow cross East Coast Panama Chunk Panama F7 x Deep Chunk Sour Diesel vigorous strain create dense resinous bud reek pine fuel Panama Chunk potent versatile hybrid provide immediate mood elevation stress relief make ideal long day strain ’s varied cerebral physical effect help consumer abate anxiety insomnia tend migraine muscular pain    
11,501St-Og,hybrid,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Earthy,Pine,Skunk","501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",,,"501St-Og hybrid Relaxed,Euphoric,Sleepy,Happy,Talkative Earthy,Pine,Skunk 501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.  ",501st Og hybrid Relaxed euphoric Sleepy happy Talkative Earthy Pine Skunk 501st OG breed Rare Dankness indica dominant hybrid cross Skywalker OG Rare Dankness 1 colorful flower tinge wide spectrum green blue red purple hue deep piney kush aroma mix sweetness grape flavor potent indica effect 501st OG great nighttime strain help pain relief trouble sleep  
12,5Th-Element,indica,"Relaxed,Focused,Euphoric,Uplifted,Aroused","Earthy,Woody,Pine","Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain. 5th Element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. The effects are quite strong with a good mix of cerebral and body highs.",,,"5Th-Element indica Relaxed,Focused,Euphoric,Uplifted,Aroused Earthy,Woody,Pine Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain. 5th Element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. The effects are quite strong with a good mix of cerebral and body highs.  ",5th element indica Relaxed Focused Euphoric Uplifted arouse Earthy woody Pine Elemental Seeds cross Blackberry Spark OG create impressive strain 5th element produce huge yield sticky bud feature powerful earthy lemony smell flavor effect strong good mix cerebral body high  
13,707-Headband,hybrid,"Euphoric,Happy,Uplifted,Talkative,Creative","Earthy,Woody,Pungent","This strain emerged from the Humboldt County, California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.",,,"707-Headband hybrid Euphoric,Happy,Uplifted,Talkative,Creative Earthy,Woody,Pungent This strain emerged from the Humboldt County, California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.  ",707-headband hybrid Euphoric happy Uplifted talkative Creative Earthy woody pungent strain emerge Humboldt County    California area ’s telephone area code source numerical moniker ’ cross Sour Diesel OG Kush Master Kush 707 headband plant flower 9 11 week usually large yield indica dominant hybrid strain know high THC level strong ’ balanced leave user feel heady creative sleepy ’ treat tension anxiety  
14,8-Ball-Kush,indica,"Relaxed,Uplifted,Happy,Creative,Euphoric","Citrus,Earthy,Pine","Bred by Barney’s Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September.",,,"8-Ball-Kush indica Relaxed,Uplifted,Happy,Creative,Euphoric Citrus,Earthy,Pine Bred by Barney’s Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September.  ",8-Ball Kush indica Relaxed Uplifted happy creative Euphoric Citrus Earthy Pine breed Barney ’s Farm 8 Ball Kush pure indica variety descend afghani landrace strain like cannabis variety come Hindu Kush region 8 Ball Kush produce large amount crystal resin blanket bud aroma earthy spicy find effect cerebrally stimulating average indica hardy resilient plant 8 Ball Kush 50 60 day flower time indoor outdoor garden finish end September  
15,818-Og,indica,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Earthy,Diesel,Flowery","Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG. ",,,"818-Og indica Relaxed,Happy,Euphoric,Giggly,Sleepy Earthy,Diesel,Flowery Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG.   ",818-Og indica Relaxed happy Euphoric giggly Sleepy Earthy Diesel Flowery name telephone area code San Fernando Valley Los Angeles 818 og OG Kush strain popular patient treat pain loss appetite insomnia confuse og cut name locale 818 og fruity flavor different sour earthy fuel taste find SFV og    
16,831-Og,indica,None,None,"831 OG, aka Santa Cruz OG, is an indica-dominant strain developed by 831 Organiks. Created by crossing the rare and potent Inferno F1 cut with the West Coast mainstay, SFV OG, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. The aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. Enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% THC.  ",,,"831-Og indica None None 831 OG, aka Santa Cruz OG, is an indica-dominant strain developed by 831 Organiks. Created by crossing the rare and potent Inferno F1 cut with the West Coast mainstay, SFV OG, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. The aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. Enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% THC.    ",831-og indica 831 og aka Santa Cruz OG indica dominant strain develop 831 Organiks create cross rare potent Inferno F1 cut West Coast mainstay SFV og combination heavyweight indica imbue consumer deep relaxation border sleepy especially continue consumption aroma pure fuel flavor open note pine earth lemon enjoy strain near end day beware strain know reach 30 THC    
17,9-Pound-Hammer,indica,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Sweet,Berry","9 Pound Hammer is an 80% indica strain that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days.",,,"9-Pound-Hammer indica Relaxed,Sleepy,Euphoric,Happy,Hungry Earthy,Sweet,Berry 9 Pound Hammer is an 80% indica strain that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days.  ",9-pound Hammer indica Relaxed sleepy Euphoric happy Hungry Earthy Sweet Berry 9 Pound Hammer 80 indica strain cross    Gooberry Hells OG Jack Ripper dense bud coat resin offer sweet grape lime flavor true indica dominance effect heavy long last useful pain stress relief best grow indoors 9    Pound Hammer deliver heavy yield    flower    50 60 day  
18,91-Krypt,indica,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Earthy,Pungent,Berry","91 Krypt by DNA Genetics is a potent strain by many names. Bred from the Chemdawg ‘91 stock crossed with DNA’s famous Captain Krypt OG, this strain was created for high potency cannabis consumers. It emits a deep, dank terpene profile that fills the room with skunk and swampy earth. With a THC content pushing over 20% on average, enjoy 91 Krypt to stimulate appetite while harnessing full body relaxation.",,,"91-Krypt indica Relaxed,Euphoric,Happy,Hungry,Uplifted Earthy,Pungent,Berry 91 Krypt by DNA Genetics is a potent strain by many names. Bred from the Chemdawg ‘91 stock crossed with DNA’s famous Captain Krypt OG, this strain was created for high potency cannabis consumers. It emits a deep, dank terpene profile that fills the room with skunk and swampy earth. With a THC content pushing over 20% on average, enjoy 91 Krypt to stimulate appetite while harnessing full body relaxation.  ",91-krypt indica Relaxed Euphoric happy hungry Uplifted Earthy pungent Berry 91 Krypt DNA Genetics potent strain name breed Chemdawg    91 stock cross DNA ’s famous Captain Krypt OG strain create high potency cannabis consumer emit deep dank terpene profile fill room skunk swampy earth THC content push 20 average enjoy 91 Krypt stimulate appetite harness body relaxation  
19,A-10,indica,"Relaxed,Focused,Happy,Sleepy,Uplifted","Citrus,Pungent,Sweet","A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.",A-10,"Stress, Insomnia, Pain, Muscle Spasms, Depression","A-10 indica Relaxed,Focused,Happy,Sleepy,Uplifted Citrus,Pungent,Sweet A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain. A-10 Stress, Insomnia, Pain, Muscle Spasms, Depression",A-10 indica Relaxed Focused happy Sleepy Uplifted Citrus Pungent Sweet A-10 earthy hashy taste provide heavy body stone    frequently treat insomnia chronic pain A-10 Stress Insomnia Pain Muscle Spasms Depression
20,A-Dub,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy","Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.",,,"A-Dub hybrid Relaxed,Happy,Euphoric,Uplifted,Sleepy Diesel,Pepper,Earthy Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.  ",Dub hybrid Relaxed happy Euphoric uplifted Sleepy Diesel Pepper Earthy come popular Sour Diesel OG Kush Chemdawg family    tree Dub solid reputation potency hybrid produce balance effect create euphoric happy buzz great influence express creativity sour Double Sour Diesel sour bubble cross Alien Dawg Alien Technology cross Chemdawg combine birth magnificent flower  
21,A-Train,hybrid,"Creative,Euphoric,Relaxed,Happy,Hungry","Earthy,Woody,Citrus",A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.,,,"A-Train hybrid Creative,Euphoric,Relaxed,Happy,Hungry Earthy,Woody,Citrus A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.  ",train hybrid Creative Euphoric Relaxed happy Hungry Earthy Woody Citrus train hybrid Mazar Sharif clone Arcata e-32 Trainwreck    hybrid give classic stone feeling    ready smile munchie jump train  
22,Acdc,hybrid,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Pine,Woody","ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.",,,"Acdc hybrid Relaxed,Happy,Uplifted,Focused,Euphoric Earthy,Pine,Woody ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.  ",Acdc hybrid Relaxed happy Uplifted Focused Euphoric Earthy Pine Woody ACDC    sativa dominant phenotype high CBD    cannabis strain Cannatonic remarkable characteristic ACDC THC CBD ratio 1:20 mean strain induce psychoactive effect test ACDC ’s CBD content high 19 help patient treat pain anxiety epilepsy multiple sclerosis negative effect chemotherapy intoxication  
